uuid,name,price,processor,memory,hard_drive,graphics,img
16906d2e-1444-11eb-9321-0242ac1c0002,Inspiron 14 7000 Laptop (7490),"$1,998.98 ",Intel Core i7-10510U,16,512GB_SSD,NVIDIA GeForce MX250,https://i.dell.com/sites/csimages/Video_Imagery/all/inspiron-14-7000-2019-360spin-thumb.jpg
169a30e8-1444-11eb-9321-0242ac1c0002,New Inspiron 13 2-in-1 7300 Laptop,"$1,998.98 ",Intel Core i7-10510U,16,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
16a3c554-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 2-in-1 Laptop,"$1,998.98 ",Intel Core i7-1165G7,16,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
16ae125c-1444-11eb-9321-0242ac1c0002,New Inspiron 14 7000 Laptop (7400),"$1,998.98 ",Intel Core i7-1165G7,8,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_7400/global_spi/ng/notebook-inspiron-14-7400-campaign-hero-504x350-ng.psd?fmt=jpg&wid=570&hei=400
171f28de-1444-11eb-9321-0242ac1c0002,New G5 15 5500 Laptop,"$1,898.99 ",Intel Core i7-10750H,8,512GB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/68603_g_series_g5_15_5500_light_360_thumb_1280x720_nvidia.jpg
172a1a3c-1444-11eb-9321-0242ac1c0002,Inspiron 14 7000 Laptop (7490),"$1,998.98 ",Intel Core i7-10510U,16,512GB_SSD,NVIDIA GeForce MX250,https://i.dell.com/sites/csimages/Video_Imagery/all/inspiron-14-7000-2019-360spin-thumb.jpg
1735cf26-1444-11eb-9321-0242ac1c0002,New Inspiron 13 2-in-1 7300 Laptop,"$1,998.98 ",Intel Core i7-10510U,16,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
174105f8-1444-11eb-9321-0242ac1c0002,XPS 13 (7390),"$1,999.00 ",Intel Core i5-10210U,8,256GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/Video_Imagery/all/italia-xps-13-7390-thumbnail-111519.jpg
174b554e-1444-11eb-9321-0242ac1c0002,New Inspiron 14 7000 Laptop (7400),"$2,098.99 ",Intel Core i7-1165G7,16,512GB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_7400/global_spi/ng/notebook-inspiron-14-7400-campaign-hero-504x350-ng.psd?fmt=jpg&wid=570&hei=400
1755e798-1444-11eb-9321-0242ac1c0002,New XPS 13 (9310) Silver,"$2,098.99 ",Intel Core i5-1135G7,8,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/xps_notebooks/xps_13_9300/pdp/notebook_laptop_xps_13_9300_npl_pdp_gallery504x350.jpg?fmt=jpg&wid=570&hei=400
175fd276-1444-11eb-9321-0242ac1c0002,New Inspiron 15 7501 Laptop,"$2,098.99 ",Intel Core i7-10750H,8,512GB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Videos_Images/en/3e4554b9-3080-4a01-bbe7-556b79678c6e.jpg
176aa4d0-1444-11eb-9321-0242ac1c0002,New Inspiron 15 7501 Laptop,"$2,098.99 ",Intel Core i7-10750H,8,512GB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Videos_Images/en/3e4554b9-3080-4a01-bbe7-556b79678c6e.jpg
177521b2-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 Laptop (7300),"$2,099.00 ",Intel Core i7-1165G7,16,1TB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/13_7300/pdp/evo/notebooks-inspiron-14-7300-laptop-pdp-design-gallery-504x350.jpg?fmt=jpg&wid=570&hei=400
177ec19a-1444-11eb-9321-0242ac1c0002,New Inspiron 14 7000 Laptop (7400),"$2,198.99 ",Intel Core i7-1165G7,16,1TB_SSD,NVIDIA GeForce MX350,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/inspiron_notebooks/14_7400/global_spi/ng/notebook-inspiron-14-7400-campaign-hero-504x350-ng.psd?fmt=jpg&wid=570&hei=400
1788ba4c-1444-11eb-9321-0242ac1c0002,New Inspiron 13 7000 2-in-1 Laptop,"$2,198.99 ",Intel Core i7-1165G7,16,512GB_SSD,Intel Iris Xe Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
1792cb40-1444-11eb-9321-0242ac1c0002,New Inspiron 13 2-in-1 7300 Laptop,"$2,198.99 ",Intel Core i7-10510U,16,512GB_SSD,Intel UHD Graphics,https://i.dell.com/sites/csimages/App-Merchandizing_Images/all/inspiron-13-15-7000-2n1-2020-thumb-anz.jpg
18493e48-1444-11eb-9321-0242ac1c0002,New ALIENWARE M17 R3 LAPTOP,"$3,698.99 ",Intel Core i7-10750H,16,512GB_SSD,NVIDIA GeForce RTX 2060 ,https://i.dell.com/sites/csimages/Video_Imagery/all/m17dark.png
188e823c-1444-11eb-9321-0242ac1c0002,XPS 13 2-in-1 (7390),"$3,698.99 ",Intel Core i7-1065G7,32,1TB_SSD,Intel Iris Plus Graphics,https://i.dell.com/is/image/DellContent//content/dam/global-site-design/product_images/dell_client_products/notebooks/xps_notebooks/13_7390_2in1/general/xps13_2_in_1_centenario_black_sf.psd?wid=1280&hei=720
18cd9030-1444-11eb-9321-0242ac1c0002,NEW ALIENWARE M15 R3 LAPTOP,"$3,798.99 ",Intel Core i7-10750H,16,512GB_SSD,NVIDIA GeForce RTX 2070 ,https://i.dell.com/sites/csimages/Video_Imagery/all/m15dark.png
194a7d34-1444-11eb-9321-0242ac1c0002,New XPS 15 Laptop,"$3,848.99 ",Intel Core i7-10750H,16,1TB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/dell_thumbnail.jpg
198d42d6-1444-11eb-9321-0242ac1c0002,New XPS 15 Laptop,"$3,849.00 ",Intel Core i7-10750H,16,1TB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/dell_thumbnail.jpg
1ba3e020-1444-11eb-9321-0242ac1c0002,New ALIENWARE M17 R3 LAPTOP,"$3,898.98 ",Intel Core i7-10750H,16,512GB_SSD,NVIDIA GeForce RTX 2070 ,https://i.dell.com/sites/csimages/Video_Imagery/all/m17dark.png
1be1ae0a-1444-11eb-9321-0242ac1c0002,New XPS 17 Laptop (9700),"$3,999.00 ",Intel Core i7-10750H,16,1TB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/xps-17-laptop-2020-thumb.jpg
1c3ba0b8-1444-11eb-9321-0242ac1c0002,NEW ALIENWARE M15 R3 LAPTOP,"$4,699.00 ",Intel Core i9-10980HK,32,512GB_SSD,NVIDIA GeForce RTX 2070 SUPER,https://i.dell.com/sites/csimages/Video_Imagery/all/m15dark.png
1c79660a-1444-11eb-9321-0242ac1c0002,New ALIENWARE M17 R3 LAPTOP,"$4,699.00 ",Intel Core i9-10980HK,32,512GB_SSD,NVIDIA GeForce RTX 2070 SUPER,https://i.dell.com/sites/csimages/Video_Imagery/all/m17dark.png
1cec5692-1444-11eb-9321-0242ac1c0002,New XPS 15 Laptop,"$4,999.00 ",Intel Core i9-10885H,32,2TB_SSD,NVIDIA GeForce GTX 1650 Ti,https://i.dell.com/sites/csimages/Video_Imagery/all/dell_thumbnail.jpg
1d696db2-1444-11eb-9321-0242ac1c0002,New XPS 17 Laptop (9700),"$4,999.00 ",Intel Core i9-10885H,32,1TB_SSD,"NVIDIA GeForce RTX 2060 , Max-Q",https://i.dell.com/sites/csimages/Video_Imagery/all/xps-17-laptop-2020-thumb.jpg
